Time	Ticks	Date	Temperature	Shutter	Lichtmenge	ThermoBad	TempExt	SollTemp	TempablMz	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffsLipp
Time	100 ns ticks since 1.1.0001	Date	Temperature	Shutter	Lichtmenge	Temperatur_Thermostatbad	Temperatur_Extern	Solltemperatur	TemperaturableitungMesszelle	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffset to Spectrometer
s			°C		W/cm²	°C		°C	K/s	Vs	sec		Pa	Pa	Pa	Pa	Vs	sec		Pa	Pa	Pa	Pa	s
1800.05	6.3387571679936947E+17	03.09.2009 10:47:59.936	20	0	-2E-10	19.73	28.411	20	-9.91183082346066E-06	6.22117894309026E-09	2.82257988985531E-05	4.24892132286914E-05					4.41052423007246E-08	2.81974285751776E-05	4.46990134150838E-06					-0.0327737
1830.051	6.3387571709937357E+17	03.09.2009 10:48:29.937	20.01	0	-2E-10	19.71	28.501	20	5.46300207283541E-06	6.21952797049907E-09	2.82258052608895E-05	4.35095207649283E-05					4.40940254569544E-08	2.81974314408214E-05	4.01669922212022E-06					-0.0314241
1860.051	6.3387571739937037E+17	03.09.2009 10:48:59.937	20.01	0	-2E-10	19.7	28.526	20	5.51874823523933E-05	6.21820177940123E-09	2.82258091767432E-05	4.45140976808034E-05					4.40850530381381E-08	2.81974332418057E-05	3.27740872307913E-06					-0.045699
1890.052	6.338757176993687E+17	03.09.2009 10:49:29.936	20.01	0	-2E-10	19.71	28.621	20	6.03210173614178E-05	6.2173000486697E-09	2.82258096442317E-05	4.42420932813548E-05					4.40739233308661E-08	2.81974346911414E-05	1.86040858807246E-06					-0.0287214
1920.053	6.3387571799937152E+17	03.09.2009 10:49:59.937	20	0	-2E-10	19.7	28.672	20	3.75965833826141E-05	6.21700035192583E-09	2.82258069544121E-05	4.45486766693648E-05					4.40694608859574E-08	2.8197430496616E-05	6.72679743729532E-06					-0.042997
1950.054	6.3387571829937024E+17	03.09.2009 10:50:29.937	20	0	-2E-10	19.72	28.731	20	1.50795890762721E-05	6.21597385757186E-09	2.82258125569886E-05	4.44090510427486E-05					4.40600765491496E-08	2.81974301294251E-05	3.87666523238295E-06					-0.0260023
1980.055	6.3387571859937024E+17	03.09.2009 10:50:59.937	20.01	0	-2E-10	19.72	28.755	20	2.8264536422468E-06	6.21378818374162E-09	2.82258167598924E-05	4.4502507080324E-05					4.40417726035245E-08	2.81974311105438E-05	1.76479704805388E-06					-0.0402764
2010.056	6.3387571889936525E+17	03.09.2009 10:51:29.936	20.01	0	-2E-10	19.69	28.789	20	1.27345238714471E-05	6.21215173390013E-09	2.8225813512608E-05	4.84068405057769E-05					4.40273686763195E-08	2.81974322781722E-05	3.39049711328698E-06					-0.0389275
2040.056	6.33875719199367E+17	03.09.2009 10:51:59.936	20.01	0	-2E-10	19.71	28.813	20	2.96823956890874E-05	6.21039514131111E-09	2.82258219243654E-05	4.71747516712639E-05					4.40113408416477E-08	2.81974318002411E-05	3.91347748518456E-06					-0.0375772
2070.057	6.3387571949935872E+17	03.09.2009 10:52:29.935	20.01	0	-2E-10	19.69	28.854	20	2.86514799547136E-05	6.21014891469115E-09	2.82258201468162E-05	5.15457504661754E-05					4.39974782169317E-08	2.81974311202578E-05	4.19740854340489E-06					-0.0362283
2100.058	6.3387571979936282E+17	03.09.2009 10:52:59.936	20	0	-2E-10	19.69	28.876	20	-9.59826150227023E-06	6.20820286623101E-09	2.82258180456679E-05	5.00152673339471E-05					4.39745401939014E-08	2.81974303722762E-05	1.43124862006516E-06					-0.034777
2130.059	6.3387572009935424E+17	03.09.2009 10:53:29.935	20	0	-2E-10	19.7	28.932	20	-3.89740832358378E-05	6.20463621092905E-09	2.82258214695051E-05	4.91161845275201E-05					4.39573611012532E-08	2.8197428794715E-05	3.33215098180517E-06					-0.033225
2160.06	6.3387572039935437E+17	03.09.2009 10:53:59.935	20	0	-2E-10	19.71	28.989	20	-5.66462279935899E-05	6.20515506916842E-09	2.82258162692116E-05	4.56119923910592E-05					4.39535244548318E-08	2.81974262710057E-05	2.74090234597679E-06					-0.0316842
2190.061	6.3387572069934861E+17	03.09.2009 10:54:29.934	20	0	-2E-10	19.69	28.983	20	-5.03660403745749E-05	6.20376154532196E-09	2.82258166994224E-05	4.57189162261784E-05					4.39404407775998E-08	2.8197422772006E-05	2.38323104895244E-06					-0.0457637
2220.061	6.3387572099934835E+17	03.09.2009 10:54:59.934	20	0	-2E-10	19.69	29.016	20	-2.02012616453541E-05	6.20319515808356E-09	2.82258190736569E-05	4.36239897680935E-05					4.39242624344311E-08	2.81974243068254E-05	3.97031362808775E-06					-0.0364099
2250.062	6.3387572129934182E+17	03.09.2009 10:55:29.934	20	0	-2E-10	19.71	29.04	20	3.23957349504204E-06	6.20040216926576E-09	2.82258184015663E-05	4.31384178227745E-05					4.39097898542275E-08	2.81974232965645E-05	5.02100601806887E-06					-0.0426797
2280.063	6.3387572159933926E+17	03.09.2009 10:55:59.933	20.01	0	-2E-10	19.7	29.056	20	1.74410437485519E-05	6.19893603167079E-09	2.82258221364959E-05	4.60266128357034E-05					4.38956975060161E-08	2.81974228730321E-05	8.18954049464082E-07					-0.0411397
2310.064	6.3387572189933466E+17	03.09.2009 10:56:29.933	20.01	0	-2E-10	19.68	29.09	20	4.89370634683799E-05	6.1956202238637E-09	2.82258300280661E-05	4.33857021562289E-05					4.38786293143657E-08	2.81974235083307E-05	2.70465307039558E-06					-0.0395933
2340.066	6.3387572219934054E+17	03.09.2009 10:56:59.934	20.01	0	-2E-10	19.67	29.135	20	4.94862359179248E-05	6.19573772611129E-09	2.82258295570562E-05	4.59842121927068E-05					4.38626754136924E-08	2.8197422649609E-05	3.23143967762007E-06					-0.0381557
2370.066	6.3387572249933658E+17	03.09.2009 10:57:29.933	20.01	0	-2E-10	19.68	29.181	20	3.9396168318701E-05	6.19446368488738E-09	2.82258235817032E-05	4.25671678385697E-05					4.38474476505043E-08	2.81974198577919E-05	4.15917293139501E-06					-0.0522352
2400.066	6.3387572279932582E+17	03.09.2009 10:57:59.932	20	0	-2E-10	19.68	29.136	20	-1.80808149154871E-05	6.19177301544249E-09	2.8225828853395E-05	4.449962216313E-05					4.38265507339322E-08	2.81974179402391E-05	2.95668860417209E-06					-0.0422378
2430.067	6.3387572309932262E+17	03.09.2009 10:58:29.932	20	0	-2E-10	19.68	29.156	20	-4.7413556352043E-05	6.18940184649105E-09	2.82258305392678E-05	4.15806607634295E-05					4.38142856116834E-08	2.81974168347806E-05	3.47808872902533E-06					-0.0473494
2460.068	6.3387572339932429E+17	03.09.2009 10:58:59.932	20	0	-2E-10	19.69	29.17	20	-5.04456424906788E-05	6.18911667249689E-09	2.8225828655107E-05	4.48132414021529E-05					4.38022422914301E-08	2.819741679981E-05	6.303340796876E-06					-0.0446474
2490.069	6.3387572369931917E+17	03.09.2009 10:59:29.931	20	0	-2E-10	19.68	29.172	20	-4.09818313303761E-05	6.18821824239029E-09	2.82258269387563E-05	4.6006705815671E-05					4.37966681960442E-08	2.81974150707097E-05	5.72181306779385E-06					-0.041951
2520.07	6.338757239993161E+17	03.09.2009 10:59:59.931	20	0	-2E-10	19.68	29.177	20	-2.37208627454123E-05	6.187304629409E-09	2.8225824263265E-05	4.686162355938E-05					4.37946931020847E-08	2.81974075306665E-05	3.9557180571137E-06					-0.0392602
2550.071	6.33875724299319E+17	03.09.2009 11:00:29.931	20	0	-2E-10	19.66	29.217	20	-8.0198157236713E-06	6.18657651154891E-09	2.82258245466723E-05	4.9540976760909E-05					4.37832914233182E-08	2.81974055956284E-05	3.8578900785069E-06					-0.0365694
